Najdan Krstajić
Stanika Pančić
Poljka Klevernić
Vukica Bukonjić
Ljuba Grbatinić
Jelena Kekerić
Filipinka Skočić
Vlastimirka Gujaničić
Obrenija Drinčić
Jefimija Civišić
Njegoslava Neagić
Živanko Klajić
Srbijanka Murišić
Roksanda Krotić
Gaga Pantelić
Pava Škrebić
Krunoslava Vaselić
Ratka Čedić
Egenija Hadži Nikolić
Đoka Andrijanić
Steva Klisić
Isailo Matejić
Varvara Glibetić
Đura Prokopić
Živoslava Udovičić
Cvetomir Jastrebić
Jelica Blesić
Dobrica Škulić
Gorica Kaćurić
Mitra Stojanić
Zvonka Stepandić
Gavra Grdinić
Bogomir Jakšić
Spasenija Šantrić
Danilo Dugonjić
Toplica Biljurić
Vladan Paninčić
Srbislav Košpić
Lenka Filipić
Dušan Pelagić
Mitar Džavrić
Nevena Vasić
Tijana Gradecić
Ćanka Udovičić
Aleksandar Krkeljić
Živadinka Bosančić
Tihomir Gazdić
Milja Novčić
Stojiljko Vračkić
Kuzman Boštrunić
Violeta Miljić
Filipinka Micić
Persa Kljakić
Zoran Belančić
Damjanka Vulpić
Cvijetin Despić
Radan Aljetić
Egenija Draginčić
Novka Šalinić
Kosta Radučić
Zdravko Kekić
Gavrilo Čolić
Tatjana Kiselčić
Dušan Salatić
Ninko Hadži Stević
Života Kojanić
Fema Savandić
Srećko Lukičić
Bogoljub Pimić
Vukadinka Kalinić
Žaklina Uršikić
Ivica Kovandžić
Eva Aškrabić
Kosta Lijeskić
Velibor Bokić
Srećko Ćosić
Stokan Đundić
Ugren Šodić
Selena Ratkelić
Mladen Kražić
Jezdimir Biščić
Blaža Palangetić
Aco Likodrić
Stevan Bastašić
Lenka Mitrekanić
Perka Pantelić
Marjan Nikolić
Miroljub Aćić
Svetolik Žutić
Vladislav Pančić
Anica Šunkić
Jevrosima Despenić
Radoslavka Brezić
Grozda Đurnić
Milivoj Oraovčić
Laza Vladetić
Vojislav Šalinić
Mojsilo Manasić
Teohar Bučić
David Rundić
Zorka Ilijić
Persa Marodić
Petar Glavendekić
Boško Ljevnajić
Fedor Vučendić
Borivoje Stegnjaić
Živan Simičić
Saveta Žagrić
Borko Trekelić
Radoje Genčić
Gabrijela Bjelovitić
Anđelka Zorkić
Avram Zarić
Stojna Filipić
Maksim Jovičić
Kasija Jajić
Bogdan Ljubišić
Svetoje Lungić
Svetislava Čohadžić
Cvetomir Misojčić
Gradiša Vrčežić
Prvoslavka Rajić
Kamenko Dvorančić
Hranislavka Džarlić
Ekatarina Morokvašić
Jelenko Hadži Antić
Trajanka Kurilić
Sekula Ješić
Stana Vrinić
Višnja Joldžić
Jasminka Lombardić
Kosara Šobajić
Đurđina Vlaketić
Blagoje Ilisić
Avram Bogić
Vukota Velišić
Slavka Gambelić
Fema Majkić
Ružica Čembić
Stojka Kaldesić
Stanojka Komjenić
Emilijan Stijepić
Gruja Đikić
Cviko Grbonošić
Višnja Zorić
Nikola Žilić
Svetozar Draškić
Miladinka Božičić
Miomir Birišić
Svetlana Lipovčić
Vukajlo Kravić
Jelisaveta Ćurić
Elizabeta Roksandić
Njegoš Smrekić
Radojko Gradić
Jakša Draškić
Petko Čergić
Njegomir Urzikić
Hranislav Šavelić
Vidoje Lojaničić
Ozarija Jovišić
Stanica Koružić
Đulijana Plačkić
Jugomir Spenčić
Živanko Trešnjić
Ivko Stijačić
Žika Bradajić
Aleksija Brdarić
Đulijana Ljaljić
Mašinka Saičić
Ratko Mijačić
Aca Osmajlić
Peran Đenić
Una Šorgić
Željko Gorančić
Obren Inić
Pava Bulić
Aćim Petkanić
Milena Dinčić
Verica Kedić
Ugren Cvijić
Selena Misić
Kruna Jokić
Nada Jergić
Zorka Jonić
Prokopije Đokić
Radiša Klisarić
Ranka Trninić
Prvoslava Krivačić
Ninoslav Gadžić
Radoslavka Grabovčić
Veroljub Nakaradić
Srđan Karličić
Ljiljana Bojanić
Stanija Jorgonić
Ninoslava Žmukić
Sekula Pršendić
Antonije Biserić
Petra Nastasić
Makarije Jocić
Nada Tomanić
Novak Patrnogić
Sotir Brisić
Vukica Bradajić
Anastasija Šaponić
Branka Garić
Dobrinka Ljubanić
Marjan Spirić
Malina Opojevlić
Vladimir Dobrić
Svetolik Vujetić
Časlav Gvozdenić
Anđelija Stupić
Radenka Kojčić
Lidija Lukačić
Moša Pericić
Radonja Đuričić
Dragana Prunić
Filipinka Vagurić
Katica Karapandžić
Dobrila Kimčetić
Jordan Divić
Bogomir Anikić
Vukan Ćorić
Slavko Knjeginjić
Dmitar Jocić
Sima Kršić
Radivojka Žikić
Cvijo Jabukić
Metodije Mijić
Kirilo Zuvić
Konstantin Bogić
Ranđa Ćustić
Vukadin Ninčić
Milovan Trindić
Ljuba Bujić
Pauna Mrdić
Ivona Partonjić
Nemanja Boranić
Gojko Nikitić
Radmila Sofijanić
Jugomir Jakić
Stepan Hadži Ristić
Olga Senić
Bratoljub Điknić
Hranislav Kurdulić
Tomanija Kasagić
Vuk Smolić
Lena Elčić
Caka Manjić
Zlatomirka Grabljić
Perka Budnić
David Čamdžić
Radul Pop Lazić
Gradimirka Kusonjić
Živkica Šunkić
Ćirilo Aligrudić
Jevrosima Varazlić
Tada Petrušić
Trivun Belodedić
Julija Arsekić
Čedomirka Makragić
Buda Žmukić
Radmilo Derikonjić
Sajka Kekerić
Slobodan Delibašić
Gorica Kapetinić
Milutin Zorbić
Momcilo Stamenić
Zlata Marušić
Radojla Mihić
Vera Kavarić
Hristivoje Brisić
Vesna Civišić
Kleopatra Planinić
Adam Riboškić
Čubrilo Kljutić
Momcilo Tomonjić
Pauna Glodić
Danojlo Gojgić
Gradiša Pašić
Cviko Malušić
Caka Bakić
Timotije Dugonjić
Dušanka Dvornić
Ana Janojkić
Branka Perucić
Živana Nebrigić
Glorija Kurušić
Ratibor Bacetić
Boško Pušić
Zoran Denić
Stanislav Pržić
Blaženka Dendić
Radoslavka Civrić
Una Đenisić
Gavra Lajić
Mirko Zelić
Čedomirka Žeravić
Maksim Opalić
Cane Mitić
Aran|el Žurić
Gvozden Šubakić
Obren Čotrić
Stojiljko Kovinić
Vasilija Tiragić
Georgije Komlenić
Želimirka Karajčić
Ćirilo Bilkić
Simka Eremić
Glorija Brašić
Teodor Bogdanić
Radosav Trifunjagić
Vojimir Grujičić
Vasilija Sinkić
Jerotije Jasnić
Caka Podrić
Jana Rapaić
Nenad Čkrkić
Valerija Jeftenić
Bogdan Tontić
Koviljka Grašić
Golub Lišančić
Sretenka Manasić
Prvoslav Brodić
Nedeljko Blendić
Milijan Klisić
Gojko Andrejić
Toda Svilarić
Dragan Bukvić
Sandra Jogrić
Bojan Penonić
Filip Plešić
Janko Jocić
Poljka Drmonjić
Momir Maravić
Olja Nikić
Jakov Lastić
Ilija Oprikić
Nada Babarogić
Milun Dugonjić
Spasenija Topličić
Fanija Jovalekić
Radenka Mikucić
Dragoje Zličić
Georgije Dlačić
Spomenka Mikičić
Aca Strajnić
Ilija Zdravić
Sofija Borčić
Stojmen Prenkić
Radojla Količić
Antonije Zaharić
Relja Kavarić
Sofija Karaklić
Branislava Kretić
Hariton Šipetić
Lola Vladičić
Mijat Nikotić
Kamenko Stolić
Anđelija Sebić
Cvetana Podinić
Časlav Sibinčić
Soja Pronić
Čeda Zdravić
Stanojka Ujić
Velimir Papulić
Ratomir Paprić
Radomir Gajić
Stanislav Brujić
Tatjana Paligorić
Ranka Opačić
Petronije Murganić
Nedeljko Poljčić
Ostoja Berić
Hristina Mrkić
Persa Vladušić
Srba Đorđić
Obradinka Mišolić
Jugomir Markeljić
Krsmanija Kabić
Ljilja Lapčić
Milovan Štakić
Gligorije Lunić
Radojica Pavlić
Koviljka Anđušić
Hariton Smikić
Jugomir Japundžić
Jana Ćilerdžić
Vukoje Buzejić
Radenka Lužaić
Dragiša Sovrić
Dušana Miljić
Živorad Mejić
Bogdan Pantić
Lela Očinić
Milorad Teslić
Valerija Lungić
Simka Lupikić
Makarije Bikić
Čubrilo Balačikić
Joviša Bumbić
Hristina Turudić
Spasenija Budujkić
Goran Kamperelić
Marjan Rogulić
Cviko Rajšić
Anđelko Bončić
Lale Čkovrić
Tijana Pačkić
Gavra Dragoljić
Zlatko Đidić
Toma Zrilić
Koviljka Sušić
Prohor Vojičić
Ranđel Elčić
Čedomirka Ranić
Gordana Blažetić
Špiro Kovjenić
Ranđel Kačaniklić
Ekatarina Ćujić
Fotije Kitanić
Bisenija Ulardžić
Stojadin Očinić
Jelika Kalezić
Živko Andić
Spasenija Košprdić
Ana Mučibabić
Slavica Aćić
Radisav Peličić
Sara Belčić
Živadin Jerosimić
Dmitar Alinčić
Velinka Ivezić
Vukašin Čogurić
Krsmanija Đokić
Leonida Zatežić
Ćuba Vucelić
Veroslava Kruškonjić
Cviko Ninčić
Ignjat Vlastić
Tomanija Doklestić
Ognjen Vagić
Milentije Mrkonjić
Ratomir Jozić
Stojanka Lopandić
Svetoje Brekić
Radomir Suđić
Višeslav Mandinić
Sreten Vulpicić
Slavna Jovonić
Ratka Divnić
Stanojla Dinčić
Zora Bralušić
Persa Vučić
Hristivoj Purešić
Ljiljana Bukić
Milka Brodalić
Fanija Vrtunić
Bojana Krsmančić
Tatomir Marčić
Poleksija Kovarbašić
Stokan Đikić
Cana Spakić
Mila Gluvić
Zoran Motičić
Steva Šodić
Sotir Šljapić
Boško Prikić
Georgije Medić
Radojka Klinić
Đulijana Šuletić
Snežana Čaprnjić
Smilja Trijić
Slaven Veličić
Vukadin Glavonić
Cane Kuljančić
Vladimir Kentrić
Stojna Karaklajić
Isak Potulić
Nedeljko Milješić
Krunoslava Stojančić
Željka Krsmanić
Emilija Kudrić
Mateja Sogonić
Ratiborka Vuičić
Paun Curkić
Hranislava Baošić
Zdravko Vrndić
Borislav Metlić
Leonida Mišulić
Paun Dubajić
Ružica Šterić
Radul Krasić
Radmila Milosavić
Rajica Sakić
Živko Jelačić
Sanja Boricić
Danilo Vrećić
Aleksija Stingić
Branislava Ćirjanić
Violeta Erletić
Čedomirka Trivunić
Dmitar Kojčić
Jagoš Rakidžić
Ivko Glišić
Dalibor Brešić
Jevta Mušikić
Novka Vukanić
Jugomir Tufegdžić
Radoš Todić
Miloje Jurić
Zagorka Vladetić
Cviko Janjić
Vukašin Plašić
Đura Šumatić
Teofan Kiridžić
Pavlija Lozić
Ignjat Varničić
Sin|elija Oketić
Prvoslavka Šorgić
Cvetko Bunardžić
Kirilo Kojčić
Poljka Šapurić
Svetislavka Šešić
Dražo Bastaić
Strajin Kodžopeljić
Milanko Stepandić
Spridon Ciklušić
Milojko Markišić
Verica Ljujić
David Urdešić
Marija Tanikić
Drgorad Milešić
Velinka Đerić
Obrenija Razumenić
Lepoje Tičerić
Danojlo Dragonjić
Stracimir Mitić
Dušica Dogandžić
Tihomir Ćitić
Eleonora Kremonjić
Miodrag Odžić
Naum Kopčalić
Ljubomirka Stopić
Đurica Ćeranić
Jovica Japundžić
Marko Žiletić
Života Lečić
Slavenka Đinđić
Dušanka Krotić
Jerotije Brešić
Vujadinka Prigodić
Njegoš Vrlinić
Draško Bilić
Stanica Rogošić
Milijana Rasulić
Ljupka Ugrešić
Vukosava Zrilić
Stanojlo Filić
Radojica Bogatić
Vladeta Vujanušić
Marija Kuvizić
Nedeljko Krsmanić
Tanja Mikonjić
Ranđel Simurdić
Latinka Knjeginjić
Đura Malavrazić
Miomir Staničić
Života Dorontić
Živomir Ikić
Irena Cepančić
Kosovka Ignjić
Drago Vučeljić
Divna Jovčić
Lena Brozbić
Smilja Mladžić
Stanica Opojevlić
Antonije Saičić
Đokica Vojkić
Stamenko Anokić
Dobrilo Dubaić
Časlavka Karadaglić
Prvoslava Oparušić
Leposava Opalić
Leposava Tulendić
Čeda Kojundžić
Timotije Našpalić
Petronije Tuvić
Srba Lubardić
Trajko Ćertić
Dragojla Kremonjić
Ivica Erkić
Ljuba Tokalić
Obrenija Bončić
Njegoje Lejić
Sanja Vezurić
Mirjana Grubić
Hranislava Krestić
Radivojka Oliverić
Miladinka Basekić
Mladomir Lašić
Žarko Brinić
Aco Mikelić
Luka Kontić
Prokopije Carić
Budislav Kojanić
Slavenka Arsić
Tugomir Bralić
Milena Palangetić
Vladanka Miričić
Vujadin Krkić
Ljuban Kvekić
Novak Lijeskić
Aksentije Fuštić
Glorija Lejić
Jelisaveta Šobajić
Anđelka Vezilić
Tatomir Stavrić
Novka Maćić
Josif Žikić
Sandra Ćatić
Branko Čikić
Aran|el Cenić
Bratislava Budić
Jelica Čihorić
Javorka Mikelić
Šiško Vagurić
Jordanka Samardžić
Njegosav Grečić
Čedomir Čokić
Cvetanka Sopić
Biserka Bogdanić
Miroljub Kandić
Teodora Radojkić
Života Sandić
Spasoje Pražić
Kosta Mirčić
Ostoja Rutešić
Ozren Lažetić
Stamena Vasiljkić
Ratibor Labotić
Violeta Šakotić
Branimir Daničić
Branislava Agić
Radonja Džambić
Drago Jonikić
Miomir Jovanetić
Aleksandra Ševarlić
Gordana Guconić
Dragiša Svilkić
Prerad Bobušić
Pantelija Dikosavić
Ignjat Čović
Svetlana Gagričić
Tomka Vukojčić
Tamara Čohadžić
Saveta Dragotić
Budislav Grgić
Borislav Nastasić
Jelka Panišić
Uranko Hadži Stević
Pavle Gerić
Tamara Biserčić
Ozren Biljurić
Saveta Janketić
Dalibor Arsić
Ćanka Subošić
Milenija Dostičić
Podgorka Brodalić
Velimir Guconić
Živadin Risimić
Ignjat Rakić
Vukadin Jontić
Golub Irić
Sajka Čizmić
Milijan Jevdosić
Dobrica Klisić
Ljubiša Marušić
Anastasija Vrtunić
Petronije Žurkić
Agnija Gizdavić
Anđa Čajić
Živana Apelić
Buda Ljubavić
Trajko Čuknić
Borislav Nebrigić
Anđelija Tošnić
Slavoljub Rajačić
Bogoljub Čubrić
Hranislavka Buljubašić
Simka Aličić
Gabrijela Nikšić
Zvezdana Paucić
Gruja Brodić
Stanka Joličić
Cvetanka Trnčić
Tatjana Suvajdžić
Ranđa Runjajić
Biljana Poparić
Gavrilo Fejzić
Srbislav Crvendakić
Stole Lavrnić
Tanasije Palić
Jelisaveta Papić
Dobrinka Krivošić
Dmitar Bodirogić
Pajka Glamočić
Zlatoslav Botorić
Zorica Radojičić
Aco Belić
Dragutin Jevdosić
Blagoje Šantrić
Ivko Biberčić
Živanka Vesić
Mihailo Stajkić
Smiljana Borčić
Ivan Dajlić
Dobrila Anić
Rodoljub Sentić
Milenija Očinić
Perka Glintić
Pava Rabadžić
Antonije Avalić
Stole Ugrčić
Joksim Vujičić
Dobrašin Čamagić
Radomirka Tomčić
Despot Karaleić
Daliborka Radosavljević
Suncica Vukojčić
Ljeposava Civrić
Miloje Smolić
Radan Klajić
Borka Bizetić
Isailo Lukičić
Pavlija Kovijanić
Janko Šestić
Dositej Markulić
Lazar Bradarić
Đurica Gvozdić
Caja Višić
Miodrag Čomić
Drago Jagličić
Milutin Zipančić
Đurica Surudžić
Milica Družetić
Bratoljub Maretić
Vuksan Ćosić
Grigorije Čeprnić
Ljeposava Stojšić
Stamena Stambolić
Ana Otić
Ivona Kolorogić
Svetislavka Aleksić
Mitra Balubdžić
Dušan Jarić
Živan Mrdić
Vekoslav Puretić
Ružica Malobabić
Dušana Radić
Jovana Vukosavić
Velimir Tmušić
Zvezdana Stegnjaić
Stojna Nikić
Antonina Cankić
Mladen Plazinić
Vidoje Buzejić
Uglješa Borjanić
Radoslava Kebeljić
Višeslava Ćeranić
Živanka Brežančić
Sava Risimić
Lola Stuparušić
Milka Ničić
Ćetko Debelnogić
Mladomir Stankulić
Radosav Pešić
Miloš Romandić
Zorana Studić
Agnija Važić
Đurđa Nogić
Đukan Roknić
Doris Mandušić
Nada Gojgić
Lara Dajić
Budimir Perutić
Leonida Bakalić
Predrag Adžić
Milojko Zolotić
Nemanja Ploskić
Snežana Jelisavčić
Isidor Pelkić
Jovana Jukić
Krsta Mršić
Zorislava Lukendić
Kleopatra Đurendić
Caka Papić
Mihailo Bjelinić
Radoljub Ćelić
Svetislav Šajtovidžić
Cana Ležajić
Mirjana Savandić
Cvetana Ševarlić
Šana Šošić
Ljuba Setenčić
Sotir Đaletić
Andrija Pupić
Zvonka Blatešić
Pava Becić
Slavica Kovjanić
Srpko Grozdanić
Moša Trenčić
Aca Jovanić
Josif Savandić
Đokica Tičerić
Lara Mikšić
Divna Ujić
Bratoljub Dražić
Tihomir Kutlešić
Nikola Pendić
Mijat Milunić
Žaklina Uršikić
Stamenko Konjikušić
Kuzman Hadži Antić
Relja Tupajić
Jagoda Krstić
Tatomir Satarić
Nikolija Vrtunić
Aćim Pejdić
Zlatko Gnjidić
Svetozar Aleksić
Ruža Tojčić
Mladen Besedić
Ninoslav Budinčić
Dobrosav Cvišić
Cvetana Graonić
Spridon Vajagić
Njegoje Vinčić
Dragojlo Klašnjić
Časlavka Raičić
Vukosava Rutešić
Stavra Brinić
Anđelija Bajčetić
Radoje Bilibajkić
Dragan Dukanić
Časlavka Stokanić
Zvezdana Maslarić
Dobroslavka Radetić
Đoka Ruvidić
Fedor Glavčić
Verka Murganić
Steva Ivezić
Filipinka Bjelovitić
Stamenko Džonić
Nenad Hinić
Trajan Lugonjić
Prokopije Grečić
Miroslava Vavić
Vasilija Čiplić
Rodoljub Slavić
Teodosije Krnić
Atanasije Žabić
Njegovan Ćajić
Petruška Necić
Pavlija Malić
Boško Vukoičić
Bosiljka Jagodić
Adam Kretić
Olja Lazetić
Dobrosav Blatešić
Zdravko Gadžić
Tugomir Korugić
Jevrem Simurdić
Zlatko Kalinucić
Vukan Lakić
Tugomir Lopatić
Smilja Lazić
Stojna Radekić
Vladislav Kužić
Borka Varazlić
Puniša Nenčić
Ratka Mionić
Leonida Čolanić
Božidarka Redžić
Vladislav Ilkić
Jasna Paravinić
Ljupka Vladnić
Ana Vugdelić
Kleopatra Kopčalić
Darinka Jovonić
Dositej Davinić
Julka Gvozdić
Živomir Zlovarić
Jakov Tešendić
Suzana Lončarić
Đura Živčić
Joviša Pješčić
Milovan Lončarić
Jugomir Krantić
Čubrilo Bunčić
Bratoljub Kurčubić
Vukašin Pepić
Spomenka Dudunić
Trivun Bujuklić
Razumenka Jondić
Negomir Disić
Bogdanka Urzikić
Pavlija Jelesić
Sofija Radešić
Kosovka Tutulić
Bratoljub Božanić
Dušan Podraščić
Radmila Nović
Buda Tupajić
Budimir Babarogić
Čeda Ugrčić
Vukašin Malić
Dositej Čkovrić
Dobrašin Otić
Cvijan Džugurdić
Saveta Maretić
Uglješa Đekić
Ivan Vlastić
Ignjat Đuzić
Prerad Jelušić
Melenija Anikić
Kirilo Martić
Lena Davogić
Eva Žiletić
Julijan Đulčić
Anđa Kačaniklić
Zlatoslav Boricić
Blaža Gambelić
Slavna Orolić
Filotej Dostinić
Isak Derikravić
Grozdan Mrkšić
Veroslava Rosandić
Ranisav Ninić
Simona Saveljić
Danica Smolić
Savka Radunčić
Ratomir Bratonožić
Zlatoje Brzić
Caja Džinić
Danilo Stiklić
Ivica Vratonjić
Persa Lukić
Vera Jeličić
Mašinka Dobranić
Ubavka Petričić
Budislav Čomić
Soja Albijanić
Nevena Ćeranić
Jovana Lašić
Živojin Gajtanić
Jordan Pićurić
Mileta Tolić
Doris Spenčić
Jerotije Greblić
Veselin Vorgučić
Bogdana Popić
Miroslava Šakotić
Relja Proročić
Spira Umetić
Milanko Stanačić
Cvetin Džambić
Gradiša Kondić
Njeguš Bačić
Jasminka Ljubavić
Ivo Dančejić
Prvoslav Poparić
Steva Škorić
Ignjatije Vorgučić
Spasoje Jorgić
Ivana Kerebić
Slavica Kuveljić
Jordan Ojkić
Zdravko Sinđelić
Marija Štukeljić
Ceca Umetić
Smilja Ljuškić
Srpko Vardalić
Viktor Sofronić
Gligorije Veselić
Ljubinko Katurić
Slavna Bugarić
Ozarija Šipčić
Ratomir Jonić
Ninko Likušić
Antonina Baldžić
Mihailo Ankucić
Ljubiša Raljić
Bogosav Kalezić
Radojlo Turnić
Glorija Stojčić
Toša Bajagić
Cveta Burčić
Pavle Priočić
Borivoje Dumonić
Stole Jovčić
Milesa Gnjatić
Ivona Redžić
Julka Krkobabić
Ljubomirka Gospavić
Radojka Peruničić
Tatjana Mandušić
Miomir Medić
Stojka Pržić
Jakov Ješanić
Lela Budinčić
Milovan Bogatić
Eleonora Šterić
Jevdokija Blečić
Mihailo Traparić
Milena Joveljić
Stanica Tovljanić
Miladinka Regulić
Živoslavka Životić
Milanko Tumarić
Tanasko Ćitić
Radan Purišić
Liza Alinčić
Đurđina Parivodić
Lena Lašić
Vojislav Jevdoksić
Branislava Knežić
Verka Rendulić
Čubrilo Nenezić
Stanija Babanić
Tanasije Bodić
Kruna Rumenić
Bojan Jošić
Stanica Vukojčić
Sin|elija Štukeljić
Stanislava Čekić
Bogoljub Roškić
Ekatarina Krstonić
Kosovka Velenderić
Slavica Bakajlić
Nina Bujagić
Ivana Milinčić
Stamenko Dedić
Živomir Cuckić
Danilo Marčić
Julijan Murišić
Mladen Belobabić
Vladeta Zambelić
Ozrenka Kudrić
Dobrosav Ergić
Toplica Midušić
Ivo Pravdić
Momir Dragojić
Božidarka Gajić
Živadin Mutavdžić
Slavica Lambulić
Milja Tonić
Slavka Gajtanić
Gruja Čivtelić
Lena Dudikić
Vidosava Vrčežić
Milka Seratlić
Koviljka Miričić
Spomenka Latinčić
Nikola Karaleić
Vujadinka Komjenić
Stanija Rosandić
Stanija Stingić
Novica Vlajčić
Pava Čelić
Vlastimir Terentić
Slavica Racić
Svetomir Maksić
Bogdan Šulkić
Mirjana Tominčić
Mira Ljevnaić
Tanasije Ćebić
Ljubo Docić
Mladomir Paldrmić
Verica Prendić
Razumenka Burtić
Takosava Šivčić
Lale Đinić
Sofija Kenić
Teodor Kljajić
Smilja Vučelić
Zlatica Vorgučić
Đurđija Žerajić
Slavoljub Bradarić
Radomir Boljanić
Dobrila Radonić
Željka Bondžić
Stole Glavičić
Nastasija Štefkić
Aleksandra Dejanić
Vidoje Zorić
Milja Kruščić
Novka Rogljić
Dositej Čulić
Vera Šaponjić
Veronika Zipančić
Miodrag Petrikić
Tugomir Đukelić
Marijan Dedić
Mojsilo Kusić
Jevrem Jovankić
Živoslava Vujetić
Đura Papulić
Radoslavka Bakić
Kosara Adžić
Vukadinka Saratlić
Nikola Antić
Šale Čuknić
Fedor Zinaić
Kornelije Dragušić
Pauna Reznić
Živko Komadinić
Stojana Ginić
Ubavka Ljiljanić
Strahinja Lukšić
Stojiljko Plačkić
Čeda Kotarlić
Lara Budurić
Ćirka Kovačić
Đurica Erdelić
Njegoje Vujetić
Damjan Zolotić
Njegoš Škrebić
Aleksa Agić
Dositej Topličić
Mitar Stikić
Bratislava Bokanić
Đurđe Kopčalić
Borko Grubić
Spasenija Utvić
Nada Pravdić
Emilija Moskovlić
Radan Gostić
Vladanka Konjikušić
Mijat Baldžić
Perka Grubišić
Bratislav Inić
Živomir Škobić
Nikolija Bocokić
Peran Jošić
Golub Mirosavić
Radiša Bajagić
Milisav Melentić
Obren Vujotić
Jakša Tošnić
Leontijr Sparić
Ćana Tomišić
Magdalena Drmonjić
Petrija Ljamić
Ćirka Pjević
Ivan Moračić
Kosta Stevlić
Mladen Bodirožić
Mihailo Fejzić
Srpko Duronjić
Dalibor Gvoić
Aćim Jovadžić
Stanoje Ćorić
Uranko Stopić
Vladeta Stančetić
Ruža Nišić
Vidosava Karajčić
Dalibor Vujačić
Višeslav Lukajić
Desanka Lulić
Ljeposava Šurdić
Drgorad Šljukić
Selena Bumbić
Dragoslav Krtinić
Mira Pončić
Ekatarina Relić
Srbislava Sovrić
Relja Romanić
Mirosava Lijeskić
Milena Topalić
Cvetin Rutonić
Njegosav Joldić
Borislav Simurdić
Leontijr Spremić
Zlatko Ladičorbić
Njegoslava Trivunčić
Ljubica Krkotić
Branko Divičić
Marija Glavičić
Jasminka Dimitrić
Ratko Kabić
Tugomir Kreconić
Rastko Čihorić
Angelina Čobelić
Ceca Poznanić
Gavrilo Gujaničić
Tomanija Karić
Anđa Đajić
Rajko Karatošić
Kleopatra Rodić
Lale Ćojbašić
Hristivoje Džonkić
Spasoje Sitničić
Kirilo Nogić
